  (2 0 | 1 2) -> (3|3) -> (9) =   0.03780860741636
  (0 2 | 2 1) -> (2|4) -> (7) =   0.03780860741636
  (0 2 | 1 2) -> (2|3) -> (6) =   0.03780860741636
  (3 1 | 3 0) -> (7|6) -> (34) =   0.03780860741636
  (1 3 | 3 0) -> (4|6) -> (16) =   0.03780860741636
  (3 1 | 0 3) -> (7|3) -> (31) =   0.03780860741636
  (1 3 | 0 3) -> (4|3) -> (13) =   0.03780860741636
  (3 0 | 3 1) -> (6|7) -> (28) =   0.03780860741636
  (3 0 | 1 3) -> (6|4) -> (25) =   0.03780860741636
  (0 3 | 3 1) -> (3|7) -> (13) =   0.03780860741636
  (0 3 | 1 3) -> (3|4) -> (10) =   0.03780860741636
  (4 1 | 4 0) -> (11|10) -> (76) =   0.03780860741636
  (1 4 | 4 0) -> (5|10) -> (25) =   0.03780860741636
  (4 1 | 0 4) -> (11|4) -> (70) =   0.03780860741636
  (1 4 | 0 4) -> (5|4) -> (19) =   0.03780860741636
  (4 0 | 4 1) -> (10|11) -> (66) =   0.03780860741636
  (4 0 | 1 4) -> (10|5) -> (60) =   0.03780860741636
  (0 4 | 4 1) -> (4|11) -> (21) =   0.03780860741636
  (0 4 | 1 4) -> (4|5) -> (15) =   0.03780860741636
  (2 2 | 1 1) -> (5|2) -> (17) =   0.81702260532091
  (2 2 | 1 1) -> (5|2) -> (17) =   0.81702260532091
  (2 2 | 1 1) -> (5|2) -> (17) =   0.81702260532091
  (2 2 | 1 1) -> (5|2) -> (17) =   0.81702260532091
  (1 1 | 2 2) -> (2|5) -> (8) =   0.81702260532091
  (1 1 | 2 2) -> (2|5) -> (8) =   0.81702260532091
  (1 1 | 2 2) -> (2|5) -> (8) =   0.81702260532091
  (1 1 | 2 2) -> (2|5) -> (8) =   0.81702260532091
  (3 3 | 1 1) -> (9|2) -> (47) =   0.81702260532091
  (3 3 | 1 1) -> (9|2) -> (47) =   0.81702260532091
  (3 3 | 1 1) -> (9|2) -> (47) =   0.81702260532091
  (3 3 | 1 1) -> (9|2) -> (47) =   0.81702260532091
  (1 1 | 3 3) -> (2|9) -> (12) =   0.81702260532091
  (1 1 | 3 3) -> (2|9) -> (12) =   0.81702260532091
  (1 1 | 3 3) -> (2|9) -> (12) =   0.81702260532091
  (1 1 | 3 3) -> (2|9) -> (12) =   0.81702260532091
  (4 4 | 1 1) -> (14|2) -> (107) =   0.81702260532091
